title,context,date,link
[홍보] [토스씨엑스]  대학교 커뮤니티 공고 업로드 홍보물,"https://toss.im/career/job-detail?job_id=5239081003&&utm_source=univ_community&utm_medium=display&utm_campaign=2412_L&D
page_content='toss CX L&D Coordinator 적극 채용 중 ""이력서의 강력한 한 줄, 토스에서""
토스씨엑스의 모든 신규입사자의 매끄러운 온보딩 경험을 기획해요. We Make New Wave 토스씨엑스는 2021년 4월에 설립된 토스의 상담 전문 계열사입니다.
최고의 고객 경험 제공을 목표로 고객 서비스의 새로운 물결을 만들어 나가고 있습니다.
이를 통해 고객은 만족감을, 팀원은 성취감을 얻어갈 수 있는 곳입니다. REFRESH
SPACE
손님은 들어주세요
FAM
 주요업무 · L&D 업무를 통해 토스씨엑스가 더욱 효능감 있는 조직이 되도록 기여해요.
· 토스씨엑스의 모든 신규 입사자가 소프트랜딩 할 수 있도록, 입사 전부터 입사 후까지의 온보딩
경험에 대해 오너십을 갖고 매끄럽게 만들어나가요.
· 토스씨엑스에서의 생활, 업무툴 사용법 등 신규입사자에게 필요한 온보딩 세션을 직접 진행해요. 지원자격 · 강력한 오너십으로 작은 것이라도 변화를 만들어 조직에 임팩트를 내 본 경험이 있으면 좋아요.
· 복잡한 오퍼레이션을 효과적으로 운영하고 개선해 본 경험이 있는 분이 필요해요.
· L&D, 온보딩, HR, 조직문화 관련 경험이 있다면 좋아요.
· 여러 변수가 많은 상황에서도 원활한 커뮤니케이션을 구사하실 수 있는 분이 필요해요. 보상 및 복리후생  수평적인 조직 문화 업계 최고의 복지 업무에 더 몰입할 수 있도록
역할만 있는 수평 조직 1인 1 법인카드 지급, 식대 100% 지원 업무 목적의 교육비 지원
CEO도 00님 호칭 사용 전문 바리스타가 상주하는 무료 사내카페 업무 관련 서적, 사무용품 지원
사내 24시간 무료 편의점 근무조건 · 1년 계약직 포지션이에요.
· 입사 후 최초 3개월은 수습 기간에 해당되며,
1년 계약기간 도래 시 퍼포먼스에 따라 계약연장이 제안될 수 있어요.
· 합류 여정은 서류 접수 > 직무 인터뷰 > 문화적합성 인터뷰 > 최종합격 순서에요.
· 입사일은 12월 16일이에요. 함께 할 동료를 위한 한마디 ""관련 경험이 없어도 동료들과 스터디를 진행하고,
피드백을 주고 받으며 업무 역량을 키워나갈 수 있어요"" · 서로 의견을 교환하다 보면 더 좋은 결과물이 나온다고 생각해요.
토스씨엑스에서 업무 경험을 쌓고 팀에 기여하고 싶다면 주저하지 말고 지원해 보세요! 궁금하신 사항은 토스 커리어 사이트의 채용팀에 직접 문의하기를 통해 전달 부탁드립니다. 지금 알아보기 > V 토스씨엑스에 대해
더 자세히 알아보세요. 지원하러 가기
toss.im/career toss CX' metadata={'page': 1}",2024-12-02,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002205&menu_idx=2711&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000003787&memberAuth=Y
순천만습지 겨울철새 탐조 프로그램 운영 안내 및 참여 협조요청,"1. 겨울철새 흑두루미는 멸종위기 야생생물 2급이며 천연기념물 228호로 2009년에 400여 마리가 순천만습지를 찾았으나 지속적인 철새 보호조치로 올해는 전 세계 개체수의 절반가량인 7천 600여마리가 관찰되고 있습니다.2. 우리 시는 UNESCO 세계자연유산인 순천만의 생물다양성의 가치를 널리 알리고 체류형 탐조관광 활성화를 위해 다음과 같이 순천만 탐조 프로그램을 운영하고 있으니, 관심있는 기관(학교)들의 적극적인 참여 바랍니다.프로그램 개요프로그램명: 순천만 새멍 여행기 간: 2024. 12. 2. ~ 2025. 3. 31.(4개월간)장 소: 순천만습지(람사르길, 갈대숲탐방로, 탐조대)내 용: 탐조 전문가와 흑두루미, 가창오리, 저어새 등 겨울철새 탐조▶ 셀프탐조, 사운드탐조, 워킹탐조로 다양한 탐조방법으로 운영참 가 비: 사운드탐조(1인 1시간 10,000원), 워킹탐조(1인 2시간 20,000원)신청방법: 사전예약(순천만습지 홈페이지, 순천시 바로예약 사이트)안내사항:""순천만습지""페이스북 참고(https://www.facebook.com/suncheonmanbojeongwa)▶ 순천만습지 홍보영상 및 순천시 다양한 자료 확인 가능붙임 웹포스터 1부.  끝.
page_content='2024.12.2.~2025. 3.31. 순천만 새멍 여행 프
셀탐 조 운영시간 : 9:00 ~ 18:00
소요시간 : 3분
위 치 : 순천만 천문대 2층, 순천만 탐조대
내 용 : 고배율 쌍안경으로 순천만 갯벌과 농경지 탐조
이용방법 : 상시 탐조(무료) 사운드
탐 조 운영시간 : 10시, 14시, 16시
소요시간 : 1시간 인 원 : 15명(회당)
코 스 : 람사르길(20') ~ 갈대숲탐방로(30') ~ 용산소공원(10')
내 용 : 탐조 해설사와 갈대소리, 새소리 찾아서 탐조 활동
이용방법 : 사전 예약(인당 10,000원) 사운드 탐조 워 킹
탐 조 운영시간 : 7시, 10시, 13시, 16시
소요시간 : 2시간 인원 : 15명(회당) 코 스 : 강의(30') ~ 람사르길(30')~ 탐조대(40')~무진교(20')
내 용 : 탐조 해설사와 생명력 넘치는 람사르길에서 겨울철새 탐조 * 매월 마지막 월요일은 공원 휴장으로 프로그램 운영을 쉽니다. 이용방법 : 사전 예약(인당 20,000원) 워킹 탐조 CHEON 순천시
순천시' metadata={'page': 1}",2024-12-02,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002205&menu_idx=2711&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000003786&memberAuth=Y
(수정)2025년 1분기 서울시립미술관 서소문본관 및 남서울미술관 전시안내 봉사자 모집 홍보,"※ 남서울미술관 근무시간 수정 : 파란색, 볼드 처리1. 서울시립미술관은 전시장 내 관람객 안전 사고 및 전시 작품 훼손 방지를 위해 전시 안내 자원봉사자를 모집 및 운영하고 있습니다.2. 이에 따라, 서울시립미술관은 '1365 자원봉사포털'에서 2025년 1분기 전시안내 봉사자를 모집하고자 합니다. 아래의 내용을 참고하여 귀 대학의 학생들이 참여할 수 있도록 안내 및 홍보 협조를 요청 드립니다.가. 사 업 명 : 2025년 1분기 서울시립미술관 서소문본관 및 남서울미술관 전시안내 자원봉사자 모집나. 모집기간 : '24.12.2.(월)~'24.12.29.(일)다. 신청방법 : '1365 자원봉사 포털' - '서울시립미술관' 검색 - 자원봉사 신청(※ 12.2.(월)부터 검색 가능)라. 근무장소 및 시간ㅇ 서소문본관 (서울시 중구 덕수궁길 61)- 평일 : 오전반(11:00~15:00) / 오후반(15:00~19:00)- 토·일요일, 공휴일( ※ 동·하절기 구분 운영)? 1~2월(동절기) : 오전반(10:00~14:00) / 오후반(14:00~18:00)? 3월(하절기) : 오전반(11:00~15:00) / 오후반(15:00~19:00)ㅇ 남서울미술관 (서울시 관악구 남부순환로 2076)- 평일, 토·일요일, 공휴일 : 오전반(10:00~14:00) / 오후반(14:00~18:00)마. 봉사실적 : 봉사 활동시간 인정 처리('1365 자원봉사 포털'에서 확인 가능)바. 활동경비 : 14,000원(식비 9000원 + 교통비 5000원)※ 활동경비는 출근일수 계산 후 실비정산 (1분기 활동 종료 후 익월 지급)사. 협조사항 : 대학 내 온·오프라인 홍보 요청아. 문 의 처 : 서울시립미술관 고객홍보과 (02-2124-8949,kheam09@citizen.seoul.kr) 끝.",2024-12-02,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002205&menu_idx=2711&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000003785&memberAuth=Y
'24년 근로·자녀장려금 체험수기 공모전 홍보,"1. 국세청에서는 복지세정의 국민적 공감대 확산을 위해 '24년 수급자 대상(가족포함) 근로·자녀장려금 체험수기 공모전을 시행합니다.2. 근로·자녀장려금 수급자가 적극적으로 참여할 수 있도록 귀 대학교 홈페이지 및 전자게시판에 붙임의 홍보 포스터를 게재하여 주실 것을 요청드립니다.홍보내용홍보기간(응모기간)비고장려금 수급자 체험수기공모전2024.11.1~2024.12.31공모전포스터,국세청 링크붙 임 : 1.'24년 장려금 체험수기 공모전 포스터.2. 국세청 링크 URL. 끝.",2024-12-02,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002205&menu_idx=2711&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000003784&memberAuth=Y
2027 충청권 하계세계대학경기대회 「제2기 대학생 서포터즈 모집」 홍보,"1.2027 충청권 하계세계대학경기대회는 전 세계 대학생들이 모여 펼치는 국제 스포츠 이벤트로2027년 8월 1일부터 12일까지 12일간 대전·세종·충북·충남 4개 시도에서 개최되며, 150여 개국 1만 5,000여명이 참가해 총 18개 종목으로 진행될 예정입니다.2. 이와 관련, 대회에 관한 다양한 소식을 제작하고 소셜미디어(SNS)를 통해 홍보하고자,「제2기 대학생 서포터즈」를 모집하니 관심 있는 분들이 많이 지원할 수 있도록 귀 기관의 홈페이지, SNS 게시 등 홍보를 요청하오니 적극 협조하여 주시기 바랍니다.-2027 충청권 하계세계대학경기대회-제2기 대학생 서포터즈 모집 개요○모집기간: 2024. 12. 2.(월) ~ 2025. 1. 5.(일)○모집인원: 50명 내외(전국 대학교 재(휴)학생)○모집분야: 이미지(카드뉴스, 웹툰 등) 또는 영상 제작○지원자격- 국제스포츠 대회에 관심있는 전국 대학교 재(휴)학생- 카드뉴스, 영상, 숏츠, 기타 콘텐츠 제작이 우수한 사람- 온라인 홍보에 대한 관심과 경험(개인 SNS 운영 등)이 풍부한 사람○활동기간: 2025년 1월 ~ 2026년 1월○결과발표: 2025. 1. 14.(화) ※공식 SNS 공지 및 개별 연락○신청방법: 지원서, 개인정보 동의서 작성 후 이메일 제출(jhg@thekingpin.co.kr)○문 의: jhg@thekingpin.co.kr / 070-4238-6768 (서포터즈 운영 담당자)※ 공식 홈페이지 https://www.chungcheong2027.com 알림·소식 > 고시·공고에서 확인 가능붙임 1. 제2기 대학생 서포터즈 모집 공고문(지원서 포함) 1부.2. 홍보포스터 1부. 끝.
page_content='2027 충청권 하계세계대학경기대회 제2기 2027유니크루 대학생
서포터즈 CHUNGCHEONG 모집 2027 2024. 12. 2. |월| 2025. 1. 5. 일 FISU
WORLD
UNIVERSITY
GAMES
SUMMER 모집대상 。 국제 스포츠대회에 관심 있는 전국 대학교
재학생 및 휴학생 。 온라인 홍보에 대한 관심과 경험(개인 SNS
운영, 서포터즈 활동 등)이 풍부한 자
。 콘텐츠(카드뉴스, 영상 등) 기획 및 제작이
우수한 자 모집인원 50명 내외 FISU GAMES CHUNGCHEONG 2027 활동기간 。 2025년 1월 ~ 2026년 1월 모집일정 。 모집공고 및 접수 :
2024. 12. 2.(월) ~ 2025. 1. 5.(일) 18시까지
。 서류심사 : 2025. 1.6.(월) ~ 2025. 1. 10.(금)
。 합격자발표 : 2025. 1. 14.(화)
。 발대식 : 2025. 1. 20.(월) 예정 활동내용 。 월 1회 대회 홍보 관련 콘텐츠 제작(이미지·
영상 등)
。 대회 홍보 이벤트 아이디어 발굴
。 대회 관련 오프라인 행사 및 발대식·해단식
참여 활동혜택 。 임명장, 기념품 등 제공
。 서포터즈 원고료, 오프라인 활동 시 교통비
지급
。 확인서 발급 및 우수 서포터즈 시상 지원방법 。 지원서 작성 후 이메일 접수 jhg@thekingpin.co.kr 。 메일 제목[제2기 유니크루 지원/이름/거주
지역]으로 기재
문의처: 070-4238-6768(서포터즈 담당자)' metadata={'page': 1}",2024-12-02,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002205&menu_idx=2711&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000003783&memberAuth=Y
[홍보] [㈜에이럭스]  SW·AI 교육 전문가 취업스쿨 3기 참가자 모집 홍보물,"<프로그램 소개>프로그램명:SW·AI 교육 전문가 취업스쿨 (3기)대상:만 15세 이상의 취업 준비생 또는 재직 희망자교육 기간:2024.12.23 ~ 2025.03.25상세 안내:https://bit.ly/4dZ2VSv
page_content='1,2기 수료생 평균 취업율 86% 디지털 전환을 주도하는
SW·AI
교육 전문가
취업스쿨 3기 모집 <취업 연계형 프로그램> 취업&창업을 위한 현업 전문가 1:1 멘토링 #SW·AI 디지털 강사 # 교육 컨텐츠 기획자
 #SW·AI 개발자 # 교육 기획 운영
 #창업 멘토링 #교육 매니저 접수기간 신청 바로가기 1차 모집 : 2024. 10.17(목) ~ 12.8(일)
2차 모집 : 2024. 12. 9(월) ~ 12.15(일) 미래 핵심 역량을 갖춘
'디지털 교육 전문가'가 되어보세요! 모집대상 취업 또는 재취업을 희망하는
만 15세 이상 서울시 거주자라면 누구나! 교육비용 무료 (100% 전액 지원 *중식비 지원) 교육장소 청년취업사관학교 도봉캠퍼스
창동역 1,4호선 도보 3분거리(씨드큐브 창동 7층) 교육기간 AND 2024. 12. 23(월) ~ 2025. 3. 25(화) 교육문의 070-4640-5186 sba 서울경제진흥원 L U' metadata={'page': 1}
page_content='sba 서울경제진흥원 x A L U x 취업 예상율 100% Seoul
Software
ACademy 청년취업사관학교 도봉캠퍼스 서울시민이라면
전액무료! 디지털 전환을 주도하는 SW·AI 교육 전문가 취업 스쿨 3기 교육과 취업을 한번에! 2024.12.23~
2025.03.25 미래 인재 양성의 주역인 '디지털 교육 전문가'가 되어보세요.
기초 교육부터 취업 컨설팅까지 완벽 지원합니다. [SW-AI 교육 전문가] 과정을 선택해야 하는 이유! 실전과 취업 중심 현직 실무 / 전문
탄탄한 커리큘럼 경력 강사진
교수법, SW·AI 이론, 교안 제작, 디지털 역량, AI, 코딩 개발자 선생님들과
교수법과 콘텐츠 개발을 위한 에듀테크 창업자가 직접 교육하는
디지털 도구 활용 훈련 실무 중심 교육
취/창업
성공 커리큘럼
퍼스널 브랜딩 및 교육 현장 실습 및
컨설팅 교육 프로젝트
강사 / 교육기획 / 교육운영 디지털, SW·AI 교육 현장 실습 및
전문가 포트폴리오 및 이력서 구성 마이크로 코칭 팀 단위 교육 기획 모집 신청 교 육 비 100% 전액 지원 (중식비 지원) 정보 방법 모집정원 30명 신청기간 1차:~24. 12. 08(일), 2차:24. 12. 09(월) ~ 12. 15(일)
교육일정 24. 12.23(월) ~ 25. 03. 25(화)
교육장소 씨드큐브 창동 7층, 지하철 1 4 호선 창동역 도보3분 신청 페이지
https://sesac.seoul.kr/ 문의 c 070-4640-5186 V digital_edu@aluxonline.com' metadata={'page': 1}",2024-11-29,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002205&menu_idx=2711&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000003782&memberAuth=Y
[홍보] [SK하이닉스] (무료교육/인턴십기회) 청년 Hy-Five 12기 교육생 홍보물,"가. 모집개요- 모집기간 : 2024.11.27 (수) ~ 2024. 12. 19 (목) 15:00- 교육기간 : [오프라인] (1주) 2025.02.17 (월) ~ 2025.02.21 (금) / [온라인] (3주) 2025.02.24 (월) ~ 2025.03.17 (월)- 인턴십: 교육 수료 후에는 본인이 지원했던 협력사에서 3개월 동안 인턴십 수행, 현장의 경험을 쌓은 이후 회사와 협의를 거쳐 정규직 전환 여부 검토나. 모집대상- 미래내일 일경험사업 참여 가능한 만 34세 이하 청년 구직자* 지원자격과 관련한 자세한 사항은 청년 Hy-Five 블로그 참조다. 신청방법 및 선발과정- 접수처 : 하기 참고 URL '홈페이지 지원' 접수- 선발과정: 서류전형 → 면접전형 → 플립러닝 → 직무교육 → 인턴십라. 교육생 혜택- 고품질 직무교육- 협력사 인턴십 기회- 역량 강화- 교육비 제공· 참고 URL :https://job.incruit.com/jobdb_info/jobpost.asp?job=2411270000255&handle=&rf=1· 문의처 : 카카오 채널 ‘@청년하이파이브' 검색
page_content='반도체 직무교육, 협력사 인턴십, 정규직 전환까지
한번에 PASS 청년 Hy- Five 12기 서류 접수 2024.11.27(수)~12.19(목) ※ 서류 마감시간: 15시 [ 모집대상 ] ● 미래내일 일경험사업 참여 가능한 만 34세 이하
청년 구직자 ※ 지원자격과 관련한 자세한 사항은 청년 Hy-Five 블로그 참조 [ 모집분야 ] [ 프로그램 일정 ] · 기업 : SK하이닉스 우수 협력사
· 직무 : 반도체 산업 관련 연구개발/설계,
생산/제조, IT/SW, 건설, 경영일반 등 구분 세부일 정
 서류 접수 2024년 1 1 월 27일(수) ~ 2024년 12월 19일(목)
 면접 전형 2025년 01월 20일(월) ~ 2025년 01월 24일(금)
 플립 러닝 2025년 02월 06일(목) ~ 2025년 02월 19일(수)
 직무 교육 2025년 02월 17일(월) ~ 2025년 03월 17일(월) ※ 오프라인 25.02.17(월) ~02.21(금) / 온라인 25.02.24(월) ~ 03.17(월)
 인 턴 십 2025년 03월 24일(월) ~ 2025년 06월 23일(월) ※ 세부 일정은 진행 상황에 따라 변경될 수 있습니다. 참여자 혜택 ] [ · SK하이닉스 현업 전문가 강사와 업계 최고의
강사진으로 구성된 고품질 커리큘럼
● 학습형태에 맞는 온/오프라인 교육 병행
· 반도체 공정관련 VR 교육콘텐츠 도입
● SK하이닉스 우수 협력사 인턴십 기회 제공
· 인턴십 종료 후 정규직 전환의 기회
· 교육 훈련비 지급 : 50만원(4주) [ 지원방법 ] · 청년 Hy-Five 채용 사이트 회원가입 후 지원서 제출
https://sharing.skhynix.com 문의처 Ch 카카오 채널 '@청년하이파이브' 검색 청년 Hy-Five 채널 blog 블로그 : https://blog.naver.com/skihynixmanum
인스타그램 : skhynixnanum' metadata={'page': 1}",2024-11-29,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002205&menu_idx=2711&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000003781&memberAuth=Y
2024년 서울시립청소년음악센터 <SYMC 뮤직시네마> 참여신청 홍보,"1. 서울시립청소년음악센터는 청소년의 문화예술활동과 음악특화 교육, 진로연계 등을 지원하기 위한 다양한 프로그램을 추진하고 있습니다.2. 그 일환으로 운영되는 <SYMC 뮤직시네마> 신청자를 아래와 같이 모집하오니 관심있는 청소년이 신청할 수 있도록 홍보와 협조를 부탁드립니다.가. 사업개요○ 사 업 명: 2024년 <SYMC 뮤직시네마>○ 사업내용: 청소년 및 가족이 함께 즐길 수 있는 뮤지컬 공연 실황 영상 상영연번구분상영영상일시장소1뮤지컬실황 영상영웅:라이브 인 시네마2024. 12. 21. (토) 12:00서울시립청소년음악센터 3F 블랙박스 공연장22024. 12. 21. (토) 17:003몬테 크리스토2024. 12. 28. (토) 12:004키키의 경계성 인격 장애 다이어리2024. 12. 28. (토) 17:00○ 상영내용 및 일시나. 신청안내○ 신청기간: 선착순 마감까지 (회차별 160명)○ 신청대상: 청소년 및 일반인○ 신청방법: 홈페이지 링크를 통한 신청(http://symc.or.kr/youth-business/symc-뮤직-시네마)※ 신청 및 세부내용 [붙임] 포스터 참조○ 기타사항: 무료 상영○ 문 의: 사업기획부 음악기획팀 박은정(02-6956-1868)붙임 포스터 1부. 끝.
page_content='서울시립청소년음악센터 12월 무료 상영작
SYMC 19 0
사용 종합
코
뮤직 뮤지컬 실황 일 태
가
푸
이
몇
내 체
가
우
시네마 영웅:라이브인 시네마 에
명
정성화 출연 음료
a 家 m
러닝타임: 159분 �
峰 �
현장감 넘치는 2024년 12월 21일(토) �
B
환
환 之 록
(1회)12:00 / (2회)17:00 Fu
TEE 전체관 경우한
�� 8 右 동별상명
K'M 12:1 124/90원
뮤지컬 공연 영상 ★8세 이상 관람가 ★
무료상영! 바북초 문제한대상 수당
자가자가지
뮤지컬 실황
장소 몬테크리스토
서울시립청소년음악센터 (러시아오리지널공연)
3F 블랙박스 공연장
러닝타임: 150분 MONTE CRISTO
대상 2024년 12월 28일(토) 몬 a ョ a 스 도
M 」 S | ( 수 L
12:00 2024년 12월 20일 E 12시
청소년 및 일반인 staters 특별상큼
★8세 이상 관람가 V IT
관람연령
두
해당 영화마다 상이 Musient
뮤지컬 실황 키키의
경계성
관람료 본 작품은 23년도 고려고사용한다. 공연예술창작산실 그림과 신작'에 인격장해
신청, 지원을 특허 제작된 작품입니다
무료 키키의 경계성 인격장애 다이어리
다이어리
러닝타임: 124분
2024년 12월 28일(토)
17:00
★15세 이상 관람가
예매접수 QR코드 SEOUL M! SOUL 시경대학교 SORIZIEUN⌀
공연예술창작산실
서울시청성-청구 -- 소리지운 한국문화예술위원회' metadata={'page': 1}",2024-11-29,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002205&menu_idx=2711&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000003780&memberAuth=Y
DDM 청년창업센터 유니콘 2025년 신규 입주기업 모집,"
page_content=' DDM 청년창업센터 유니콘
2025년도
신규 입주기업
모집 No Pain No Gain
2024.12.10(화) 16시까지 DDM UNICORN 모집안내 유니콘 스타트업을
기다립니다. 선발규모 - 4개사 내외
 신청자격 - 청년(19~39세)
  - 예비창업자 또는 3년 미만 초기 창업자
 입주위치 - 서울특별시 동대문구 망우로 46 101동 2층
 지원방법 - 1. 온라인(구글폼) 신청
  -> 2. 신청서식 제출(담당자 이메일 제출)
  - 반드시 1, 2 모두 접수완료 해야함 구글폼 신청 신청서식 다운 VR TOUR 관련문의 DDM청년창업센터유니콘 운영사무실
(02-3394-9224/info@ddmunicom.com) ■ oh
DDM!!!
신규입주!! oh
Yeah
DDM
청년창업센터
유니콘 The POTH Anniversery
동대문구 KWANGWOON' metadata={'page': 1}",2024-11-29,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002205&menu_idx=2711&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000003779&memberAuth=Y
넷플릭스 VFX 아카데미 5기 파이프라인 TD과정 교육생 추가 모집,"1. 본 협회는 고용노동부 K-디지털 트레이닝 과정을 통해 디지털 신기술 핵심 실무인재 양성을 위한 '디지털 선도기업 아카데미' 훈련과정을 추진하고 있습니다.2. 디지털신기술 분야 예비인력 대상 현업 전문가의 프로젝트 및 현장실무 교육을 통해 미래 VFX 전문가를 양성하고자 「넷플릭스 VFX 아카데미」 실감콘텐츠 파이프라인 TD 양성과정 추가 모집을 다음과 같이 진행하오니 모집 및 홍보 협조와 많은 참여 부탁드립니다.가. 개요ㅇ 교육명 : 넷플릭스 VFX 아카데미ㅇ 추가 모집과정 :실감콘텐츠 파이프라인 TD 양성과정ㅇ 추가 모집기간 : '24. 11. 25.(월) ~ 12. 9.(월), 약 2주간※ 자세한 모집요강은 홈페이지(http://vfxacademy.info/) 참조ㅇ 주최/주관 : 고용노동부/한국전파진흥협회나. 요청사항ㅇ 귀 기관 내 홈페이지 및 게시판 공지ㅇ 포스터 부착 및 대·내외 홍보, 교육과정 참여 독려 등붙임1. 붙임1. (포스터) 넷플릭스 VFX 아카데미 파이프라인 TD 교육생 추가 모집 (1).pdf 끝.",2024-11-28,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002205&menu_idx=2711&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000003778&memberAuth=Y
