title,context,date,link
[직원채용] 명지전문대학 계약직원(사서 2명 및 일반행정2명) 신규채용 공고 ~ 2024.12.14.(토) 23:00 까지,"명지전문대학 계약직 채용 공고문명지전문대학계약직원 채용계획을 아래와 같이 공고하오니 많은 지원 바랍니다.1.채용 예정인원 및 임용일자임용직급근 무 처담당업무인원임용일자계약직학술정보팀사서업무 및 일반행정 등2명2025. 1. 1.계약직(국고)[혁신]AI융합진로지원센터진로상당 및 일반행정 등1명계약직(국고)캠퍼스타운 사업단캠퍼스타운사업운영 업무 등1명총 계4명2.자격요건채용분야자격요건 및 우대사항급여재원공 통【필수자격】⁃전문학사 이상 학력 소지자⁃국가공무원법 제33조(결격사유)및 우리대학 직원인사규정상결격사유가 없는 자⁃아동청소년의 성보호에 관한 법률 제46조에 의거｢아동청소년 관련 교육기관 취업 제한 중｣에 있지 않는 자⁃남자의 경우 병역을 필하였거나 면제받은 자‧연봉 약2,770만원~(세금 공제 전,4대보험 개인부담금 포함)‧경력에 따라 추가산정 예정(대학내부규정)학술정보팀•사서자격증(준사서 이상)소지자[필수]•KORMARC구축 가능자[우대]•대학(공공)도서관 업무 유경험자[우대]•도서정보시스템(SOLARS8등)운용가능자[우대]교비[혁신]AI융합진로지원센터⁃학사관련 업무 경력[우대]⁃자유전공학과 관련 업무 경력[우대]전문대학혁신지원 사업비캠퍼스타운 사업단⁃전문학사 이상(2월 취득 예정자)학력 소지자[필수]⁃서울시 캠퍼스타운 조성사업 경력[우대]⁃대학행정 및 지자체 사업 업무 경력자[우대]⁃창업지원 유관경력2년 이상자[우대]서울시캠퍼스타운 조성사업비※장애인,국가유공자,국가보훈대상자,취업보호대상자 등은 관련법령에 따라 우대함(장애인증명서 또는 보훈청 취업추천서 제출 필수)3.전형방법 및 일정구분일정비고서류접수2024. 12. 2.(월) ~ 12.14.(토)⁃우편/방문/이메일접수1차 서류심사(예정)2024. 12.17.(화)⁃결과 통보(전화 또는 문자전송)2차 면접심사(예정)2024. 12.19.(목)⁃면접대상사 개별통보최종합격자 발표2024. 12.26.(목)⁃개별통보(전화 또는 문자전송)신규임용 직원OT2025. 1. 2.(월)⁃임용일자(2025. 1. 1.)4.제출서류가.임용지원서 및 자기소개서(우리대학 소정서식)각1부.나.업무수행계획서 및 개인정보 수집․이용에 대한 동의서(우리대학 소정서식)각1부.다.최종학력 졸업증명서1부.라.자격증(사본,해당자에 한함) 1부.마.경력증명서1부(해당자에 한함)바.세례교인증명서1부(해당자에 한함)5.서류 접수가.접수마감: ~ 2024.12.14.(토) 23:00까지나.접수방법:방문접수(평일9:00 ~ 17:30)또는 우편 접수(이메일 접수 가능)다.접 수 처:(우03656)서울특별시 서대문구 가좌로134명지전문대학 본관1층 총무회계팀라.이메일 접수:insa@mjc.ac.kr(접수 후 회신 답문 확인,미확인 시 유선전화로 확인)※주의사항(모든 제출서류는PDF파일로 묶어서 제출)6.기타가.근무형태:평일(주5일 근무)나.계약직 임용(계약)기간은1년 이며,재임용평가에 따라1회 연장 가능합니다.※단,국고사업 계약직원은 사업종료시 까지다.급여는 우리대학 계약직 급여 책정기준에 의함.라.지원서 및 자기소개서,개인정보활용동의서는 반드시자필서명하며,지원서 상의기재착오 및 연락불능 등으로 인한 불이익은 응시자의 책임마.합격자 통지 후 임용결격(제한)사유가 발견되거나 제출 서류 기재 내용이 허위로판명될 경우 임용을 취소할 수 있습니다.바.문의:사무처 총무회계팀(02-300-1027)붙임:우리대학 소정서식 각1부.끝.명 지 전 문 대 학 총 장",2024-11-29,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002077&menu_idx=2617&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000002492&memberAuth=Y
[직원채용] 명지전문대학 국고 계약직원(조기취업형 계약학과 선도전문대학 사업단) 신규채용 공고 ~ 2024. 12. 14.(토) 23:00 까지,"명지전문대학 계약직 채용 공고문명지전문대학 조기취업형 계약학과 선도전문대학 육성사업의 지원을 받아사업 성공을 위한 성실한 전담인력을 채용하고자 합니다1.채용 예정인원 및 임용일자임용직급근 무 처담당업무인원임용일자계약직조기취업형 계약학과선도전문대학 사업단학사 및 장학관리 현장실무실습(OJT)등 산학연계 관리1명2025. 1.1.2.자격요건채용분야자격요건 및 우대사항비고조기취업형계약학과   선도전문대학 육성사업(일반행정)【필수자격】⁃전문학사 이상 학력 소지자⁃국가공무원법 제33조(결격사유)및 우리대학 직원인사규정상결격사유가 없는 자⁃아동청소년의 성보호에 관한 법률 제46조에 의거｢아동청소년 관련 교육기관 취업 제한 중｣에 있지 않는 자⁃남자의 경우 병역을 필하였거나 면제받은 자【우대자격】⁃대학(전문대학)학사행정 및 재정지원사업 경력자⁃협약 산업체 관리업무 경력자⁃실습기자재 및 비품 관리업무 경력자⁃조기취업형 계약학과 선도전문대학 육성사업 사업비 지원⁃경력에 의한 추가산정은대학내부규정에 따름⁃연봉 약2,770만원~세금 공제전, 4대 보험 개인부담금 등 포함※장애인,국가유공자,국가보훈대상자,취업보호대상자 등은 관련법령에 따라 우대함(장애인증명서 또는 보훈청 취업추천서 제출 필수)3.전형방법 및 일정구분일정비고서류접수2024. 11.29.(금) ~ 12.14.(토)⁃우편/방문/이메일접수1차 서류심사(예정)2024. 12.17.(화)⁃결과 통보(전화 또는 문자전송)2차 면접심사(예정)2024. 12.19.(목)⁃면접대상자 개별통보최종합격자 발표2024. 12.26.(목)⁃개별통보(전화 또는 문자전송)신규임용 직원OT2025. 1. 2.(목)⁃임용일자(2025. 1. 1.)4.제출서류가.임용지원서 및 자기소개서(우리대학 소정서식)각1부.나.업무수행계획서 및 개인정보 수집․이용에 대한 동의서(우리대학 소정서식)각1부.다.최종학력 졸업증명서1부.라.자격증(사본,해당자에 한함) 1부.마.경력증명서1부(해당자에 한함)바.세례교인증명서1부(해당자에 한함)5.서류 접수가.접수마감:  ~ 2024. 12.14.(토) 23:00까지나.접수방법:방문접수(평일9:00 ~ 17:30)또는 우편 접수(이메일 접수 가능)다.접 수 처:(우03656)서울특별시 서대문구 가좌로134명지전문대학 본관1층 총무회계팀라.이메일 접수:insa@mjc.ac.kr(접수 후 회신 답문 확인,미확인 시 유선전화로 확인)※주의사항(모든 제출서류는PDF파일로 묶어서 제출)6.기타가.근무형태:평일(주5일 근무)나.계약직 임용(계약)기간은1년 이며,재임용평가에 따라 연장 가능합니다.다.급여는 우리대학 계약직 급여 책정기준에 의함.라.지원서 및 자기소개서,개인정보활용동의서는 반드시자필서명하며,지원서 상의기재착오 및 연락불능 등으로 인한 불이익은 응시자의 책임마.합격자 통지 후 임용결격(제한)사유가 발견되거나 제출 서류 기재 내용이 허위로판명될 경우 임용을 취소할 수 있습니다.바.문의:사무처 총무회계팀(02-300-1027)붙임:우리대학 소정서식 각1부.끝.명 지 전 문 대 학 총 장",2024-11-29,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002077&menu_idx=2617&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000002490&memberAuth=Y
[진로취창업센터 잡카페] 명지전문대학 추천채용 의뢰 관련서식 안내,"명지전문대학 진로취창업센터 잡카페입니다.추천채용 의뢰 관련 안내드립니다.추천인재를 채용게시판에 업로드를 원하시는 기업 채용 담당자님께서는 아래의 방법을 참고하시어 송부 바랍니다.1) 붙임1. 첨부파일을 다운 후, 반드시한글파일로 저장 (PDF파일로 보내주실 필요없습니다!)2) 대표메일(job@mjc.ac.kr)로 발송3) 메일 수신시 확인메일을 보내드립니다.우리대학 양식에 맞게 작성하여(한글파일) 보내주시면, 검토 후 대학 홈페이지에 게시하여좋은 인재를 추천할 수 있도록 노력하겠습니다.감사합니다.문의: 02-300-3990/ 300-1083붙임 : 잡카페 추천채용양식1부.",2022-05-24,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002077&menu_idx=2617&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000001452&memberAuth=Y
"[추천채용] [앤츠스튜디오㈜] 각 부문(CAD, CAM, 후가공, 수작업, 회로작업) 정규직 채용","※ 메일 제목 양식 ※[지원 업체명] 학번 학과 이름 자기소개서/이력서예시) [□□기업] 2023123123 ○○학과 홍길동 자기소개서
page_content='[필독 공지사항] *접수 전 유의사항 -이력서 및 자기소개서 작성하기 전! or 작성했어도!
수월한 자. 소. 서 첨삭 후 접수를 위해 꼭 접수 전 날!
채용담당자에게 연락바랍니다 :D' metadata={'page': 1}
page_content='명지전문대학
MYONGJI COLLEGE
취업지원팀 JOB-Cafe 추천채용 채용제목 앤츠스튜디오(주) 각 부문 인재 모집
 회 사 명 앤츠스튜디오(주) 접수마감일 24.12.27. (금) 17:00
 업 종 제조업 직 무 CAD, CAM, 후가공, 수작업, 회로작업
 고용형태 정규직 모 집 인 원 8명
 급 여 연 2,800만 원 (협의 후 결정) 근무시간 휴 일 09:00~18:00 (주5일)
 근무예정지(주소) 서울특별시 금천구 범안로9길 49, 5층 앤츠스튜디오(주)
 본사 주소 서울특별시 금천구 범안로9길 49, 5층 앤츠스튜디오(주)
 원서접수방법 잡 메일을 통한 이메일 접수
 채용담당자 Job cafe 담당자 연락처 02-300-3992
 담당자이메일 job@mjc.ac.kr
 업무 내용 및 응시 자격 복리후생 담당 업무 - 구조설계팀(CAD) : 디자인 제품 구조설계, 3D모델링 가공팀(CAM) : 마스터캠, 시마트론을 활용한 CNC 가공(화낙 장비) - 후가공팀 : 실크스크린 인쇄 및 제품 스프레이 도장 수작업팀 : 디자인 목업 가공품 사상(샌딩), 조립 등 최종 제품 완성 - 회로개발 : 전자회로, 라이팅, PCB 개발, 하드웨어 회로 설계 지원자격 - 관련 학과/분야 전공자 우대사항 - 구조설계 : 지멘스 NX 사용 경험자 CAM 가공 : 마스터캠, 시마트론 사용 경험자 수작업 : 지멘스 NX 사용 경험자 후가공 : 어도비 일러스트 활용 가능자 우대 - 회로개발 : AVR 프로그래밍 가능자, PCB 아트워크 가능자, 납땜 가능자 제출서류 및 채용진행 과정 - 제출서류 : 자유 양식의 입사지원서 - 진행과정 : 서류 전형 > 1차 면접 > 임원 면접 > 최종 합격 *회사소개 - 앤츠스튜디오 주식회사는 2014년에 설립된 회사로 자본금 5억원, 매출액 약 100억원, 사원수 70명 규모의 중소기업입니다. 서울 금천구 독산역 인근에 위 치하고 있으며, 목업, 금형, 3D 프린팅, 부품가공,시제품 사업을 하고 있습니 다. 젊고 성실한 분들의 많은 지원 바랍니다. - 식사 제공, 경조휴가, 명절 귀향비, 야간교통비, 근무복 지급, 건물 내 흡연실외 2024. 11. 29.' metadata={'page': 1}",2024-11-29,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002077&menu_idx=2617&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000002491&memberAuth=Y
"[추천채용] [아세아파워(주)] 아세아파워 전기기자재(변압기, 수배전반) 영업직 신입사원 채용","※ 메일 제목 양식 ※[지원 업체명] 학번 학과 이름 자기소개서/이력서예시) [□□기업] 2023123123 ○○학과 홍길동 자기소개서
page_content='[필독 공지사항] *접수 전 유의사항 -이력서 및 자기소개서 작성하기 전! or 작성했어도!
수월한 자. 소. 서 첨삭 후 접수를 위해 꼭 접수 전 날!
채용담당자에게 연락바랍니다 :D' metadata={'page': 1}
page_content='명지전문대학
MYONGJI COLLEGE
취업지원팀 JOB-Cafe 추천채용 채용제목 아세아파워 전기기자재(변압기, 수배전반) 영업직 신입사원 채용
 회 사 명 아세아파워(주) 접수마감일 24.12.13. (금) 17:00
 업 종 전기용기계, 장비 및 관련기자재도매업 직 무 영업직
 고용형태 정규직 모 집 인 원 1명
 급 여 4,550만원 근무시간 휴 일 09:00~18:00 (주5일)
 근무예정지(주소) 서울시 강서구 양천로 564, 1030호
 본사 주소 서울시 강서구 양천로 564, 1030호
 원서접수방법 잡 메일을 통한 이메일 접수
 채용담당자 Job cafe 담당자 연락처 02-300-3992
 담당자이메일 job@mjc.ac.kr
 업무 내용 및 응시 자격 담당 업무 - 고객 미팅 및 영업 업무 - 수주 관리 및 고객 지원 지원자격(필수사항) - 운전면허 소지자 - 군필자 * 이력서/자기소개서 자사 양식 있을 경우 양식 첨부 필수 * 근무 예정지가 비수도권 또는 통근이 불편한 지역일 경우, 기숙사 및 통근 지원 사항 작성 필수 우대사항 - 장기근속 가능자 - 전기공학 전공자 제출서류 및 채용진행 과정 - 이력서, 자기소개서, 주민등록등본, 자격증 사본 - 1차 서류 전형이후, 2차 면접을 통하여 선발 *회사소개 - HD현대일렉트릭의 특약점으로 국내외 플랜트 및 건설사에 영업활동을 통하 여 전기기자재를 납품하는 회사입니다.
 복리후생 - 4대보험, 년(연)차, 식대지급, 생일 및 명절상여, 유류비 지원 2024. 11. 25.' metadata={'page': 1}",2024-11-25,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002077&menu_idx=2617&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000002489&memberAuth=Y
[추천채용] [㈜현대표지] 토목/건축부문 공사 신입사원 정규직 채용,"※ 메일 제목 양식 ※[지원 업체명] 학번 학과 이름 자기소개서/이력서예시) [□□기업] 2023123123 ○○학과 홍길동 자기소개서
page_content='[필독 공지사항] *접수 전 유의사항 -이력서 및 자기소개서 작성하기 전! or 작성했어도!
수월한 자. 소. 서 첨삭 후 접수를 위해 꼭 접수 전 날!
채용담당자에게 연락바랍니다 :D' metadata={'page': 1}
page_content='명지전문대학
MYONGJI COLLEGE
취업지원팀 JOB-Cafe 추천채용 채용제목 토목/건축부분 공사 부원 신입사원 채용
 회 사 명 (주)현대표지 접수마감일 24.12.06. (금) 17:00
 업 종 전문건설업 (방음벽 외 토목잡철물) 직 무 공사 사원
 고용형태 정규직 (진급확정제도) 2년 후 대리, 4년 후 과장 모 집 인 원 00명
 급 여 연 3,400만 원 (진급에 따른 급여 인상) 근무시간 휴 일 09:00~18:00 (주5일)
 근무예정지(주소) 서울시 강동구 성안로 10 (성내동 446-24) 현대표지 4층
 본사 주소 경기도 포천시 화현면 봉화로 683 (지현리 147-3)
 원서접수방법 잡 메일을 통한 이메일 접수
 채용담당자 Job cafe 담당자 연락처 02-300-3992
 담당자이메일 job@mjc.ac.kr
 업무 내용 및 응시 자격 복리후생 담당 업무 - 도로 및 철도 시설물 (방음벽, 방음터널 등 토목 잡철물)에 대한 공사 업무 - 현장 관리 및 공정 관리 - 설계 관리 - 안전 및 환경 관리 등 지원자격 - 학력 : 토목 및 건설 관련 전공자 (2025년 2월 졸업예정자 가능) - 토목기사, 건설안전기사, 산업안전기사, 품질경영/산업기사 등 1개 이상 자격사항 보유 또는 상위 자격사항 보유자 우대사항 - AutoCAD 등 설계 관련 소프트웨어 사용자 제출서류 및 채용진행 과정 - 제출서류 : 자유 양식의 입사지원서 - 진행과정 : 이력서 제출 → 실무진 및 임원진 면접 → 합격자 발표 ※ 허위로 기재된 내용이 발견될 경우 채용이 취소될 수 있습니다. *회사소개 - 주로 고속도로/국도에 도로부대공을 하는 기업입니다. 국내 거의 모둔 일군 건설사들의 최우수 협력업체로 등록되어 있으며 탄탄한 자금력과 오랜 영업기 반을 토대로 내실있는 영업을 하는 국내에서 동 직종으로는 인지도를 인정받 고 있습니다. 새로운 시도의 영업형태를 향해 재도약을 위하여 인재를 모집합 니다. 퇴직연금, 주5일근무, 연차, 중식, 야근 식비, 탕비 물품(커피 등), 경조사비 (직계), 업무 시 차량유류비 & 주차비 지원, 명절 선물, 회식 비용 지원, 본사 기숙사, 추천수당 등 2024. 11. 22.' metadata={'page': 1}",2024-11-22,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002077&menu_idx=2617&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000002488&memberAuth=Y
[추천채용] [㈜현대표지] 토목/건축부문 공무 신입사원 정규직 채용,"※ 메일 제목 양식 ※[지원 업체명] 학번 학과 이름 자기소개서/이력서예시) [□□기업] 2023123123 ○○학과 홍길동 자기소개서
page_content='[필독 공지사항] *접수 전 유의사항 -이력서 및 자기소개서 작성하기 전! or 작성했어도!
수월한 자. 소. 서 첨삭 후 접수를 위해 꼭 접수 전 날!
채용담당자에게 연락바랍니다 :D' metadata={'page': 1}
page_content='명지전문대학
MYONGJI COLLEGE
취업지원팀 ◆ JOB-Cafe 추천채용 채용제목 토목/건축부분 공무 부원 신입사원 채용
 회 사 명 (주)현대표지 접수마감일 24.12.06. (금) 17:00
 업 종 전문건설업 (방음벽 외 토목잡철물) 직 무 공무 사원
 고용형태 정규직 (진급확정제도) 2년 후 대리, 4년 후 과장 모 집 인 원 00명
 급 여 연 3,400만 원 (진급에 따른 급여 인상) 근무시간 휴 일 09:00~18:00 (주5일)
 근무예정지(주소) 서울시 강동구 성안로 10 (성내동 446-24) 현대표지 4층
 본사 주소 서울시 종로구 김상옥로 30, 1402호(연지동, 한국기독교연합회관)
 원서접수방법 잡 메일을 통한 이메일 접수
 채용담당자 Job cafe 담당자 연락처 02-300-3992
 담당자이메일 job@mjc.ac.kr
 업무 내용 및 응시 자격 복리후생 담당 업무 - 도로 및 철도 시설물 (방음벽, 방음터널 등 토목 잡철물)에 대한 공무 업무 - 실행예산 작성 - 외주 및 자재 발주 (수량검토업무) - 입찰내역서 작성 - 현장 관리비 및 노무비 관리 등 지원자격 - 학력 : 토목 및 건설 관련 전공자 (2025년 2월 졸업예정자 가능) - 토목기사, 건설안전기사, 산업안전기사 등 1개 이상 자격사항 보유 또는 상위 자격사항 보유자 우대사항 - MS 오피스 (엑셀, 워드 등) 활용 능력 우수자 제출서류 및 채용진행 과정 - 제출서류 : 자유 양식의 입사지원서 - 진행과정 : 이력서 제출 → 실무진 및 임원진 면접 → 합격자 발표 ※ 허위로 기재된 내용이 발견될 경우 채용이 취소될 수 있습니다. *회사소개 - 주로 고속도로/국도에 도로부대공을 하는 기업입니다. 국내 거의 모둔 일군 건설사들의 최우수 협력업체로 등록되어 있으며 탄탄한 자금력과 오랜 영업기 반을 토대로 내실있는 영업을 하는 국내에서 동 직종으로는 인지도를 인정받 고 있습니다. 새로운 시도의 영업형태를 향해 재도약을 위하여 인재를 모집합 니다. 퇴직연금, 주5일근무, 연차, 중식, 야근 식비, 탕비 물품(커피 등), 경조사비 (직계), 업무 시 차량유류비 & 주차비 지원, 명절 선물, 회식 비용 지원, 본사 기숙사, 추천수당 등 2024. 11. 22.' metadata={'page': 1}",2024-11-22,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002077&menu_idx=2617&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000002487&memberAuth=Y
[추천채용] [한국기독공보사] 총무국 회계 경리 정규직 채용,"※ 메일 제목 양식 ※[지원 업체명] 학번 학과 이름 자기소개서/이력서예시) [□□기업] 2023123123 ○○학과 홍길동 자기소개서
page_content='[필독 공지사항] *접수 전 유의사항 -이력서 및 자기소개서 작성하기 전! or 작성했어도!
수월한 자. 소. 서 첨삭 후 접수를 위해 꼭 접수 전 날!
채용담당자에게 연락바랍니다 :D' metadata={'page': 1}
page_content='명지전문대학
MYONGJI COLLEGE
취업지원팀 JOB-Cafe 추천채용 채용제목 한국기독공보 총무국 회계경리 직원 신입.경력 모집 공고
 회 사 명 한국기독공보사 접수마감일 24.12.02. (월) 16:00
 업 종 신문 직 무 회계 경리
 고용형태 정규직 (3개월 수습기간) 모 집 인 원 0명
 급 여 연 3,000만 원 (내규에 준함) 근무시간 휴 일 09:00~18:00 (주5일)
 근무예정지(주소) 서울시 종로구 김상옥로 30, 1402호(연지동, 한국기독교연합회관)
 본사 주소 서울시 종로구 김상옥로 30, 1402호(연지동, 한국기독교연합회관)
 원서접수방법 잡 메일을 통한 이메일 접수
 채용담당자 Job cafe 담당자 연락처 02-300-3992
 담당자이메일 job@mjc.ac.kr
 업무 내용 및 응시 자격 복리후생 담당 업무 - 총무국 회계경리 업무 지원자격 - 학력 : 전문대졸 졸업(예정)자 우대사항 - 회계프로그램 및 MS 오피스 사용에 능한 자 - 세무, 회계 관련 자격증 보유자 회계 전공자 및 더존 회계프로그램 사용자 우대 제출서류 및 채용진행 과정 - 제출서류 : 자사 양식의 이력서 및 자기소개서, 자격증 사본(소지자에 한함), 경력증명서 및 경력기술서(본보 홈페이지에서 다운)(경력자에 한함) 최종학교 졸업(예정)증명서 및 성적증명서 - 진행과정 : 서류접수 → 면접 → 합격자 발표 ※ 최종 합격자에 한해 당회장 추천서 및 건강진단서 추가 제출함 ※ 면접은 서류전형 합격자에 한함 *회사소개  1946.1.17. 창간된 기독교 주간 신문사입니다. 기독교 언로 현장에서 미래를 함께 열어갈 인재를 기다립니다.  지연금, 학자금지급, 휴가비, 5일근무제, 근속자포상, 직원건강검진 비용지원, 해외연수, 생일자축하 등 2024. 11. 21.' metadata={'page': 1}",2024-11-21,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002077&menu_idx=2617&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000002486&memberAuth=Y
[추천채용] [두나무씨엑스 주식회사] 업비트 CX매니저 채용,"※ 메일 제목 양식 ※[지원 업체명] 학번 학과 이름 자기소개서/이력서예시) [□□기업] 2023123123 ○○학과 홍길동 자기소개서
page_content='[필독 공지사항] *접수 전 유의사항 -이력서 및 자기소개서 작성하기 전! or 작성했어도!
수월한 자. 소. 서 첨삭 후 접수를 위해 꼭 접수 전 날!
채용담당자에게 연락바랍니다 :D' metadata={'page': 1}
page_content='명지전문대학
MYONGJI COLLEGE
취업지원팀 JOB-Cafe 추천채용 채용제목 업비트 CX매니저 모집
 회 사 명 두나무씨엑스 주식회사 접수마감일 24.11.22. (금) 17:00
 업 종 서비스업 직 무 CX매니저
 고용형태 계약직 모 집 인 원 00명
 급 여 연 3,300만 원 근무시간 휴 일 1) 주5일, 09-18시 2) 주5일, 13-22시 3) 주4일, 21:30-09시 * 근무희망시간 선택(교대근무 아님)
 근무예정지(주소) 서울시 강남구 테헤란로 4길 14, 5층 (역삼동, 미림타워)
 본사 주소 서울시 강남구 테헤란로 4길 14, 5층 (역삼동, 미림타워)
 원서접수방법 잡 메일을 통한 이메일 접수
 채용담당자 Job cafe 담당자 연락처 02-300-3992
 담당자이메일 job@mjc.ac.kr
 업무 내용 및 응시 자격 담당 업무 - 업비트 이용 고객 이용 문의 해결(전화, 채팅, 1대1 게시판등) 지원자격 - 고객 중심 마인드와 커뮤니케이션 업무 역량 - 적극적 마인드, 긍정적 태도 - 소통 및 문제 해결 능력 우대사항 - 문서 작성 능력 - 전화, 채팅상담 경험 제출서류 및 채용진행 과정 - 제출서류 : 자유 양식의 이력서 및 자기소개서 - 진행과정 : 서류전형 → 면접 → 채용 ※ 서류전형 합격자에 한해 기타 추가 서류가 요청될 수 있습니다. ※ 채용 절차는 변경될 수 있으며, 사실이 다를 경우 합격이 취소될 수 있습니다. *회사소개 - 가상자산거래소 업비트를 운영하는 두나무(주)에서 23.12월 설립한 고객 상담 전문 자회사(두나무 100%출자)로서 두나무씨엑스는 함께 만들어가는 고객경험 을 바탕으로 블록체인 CS분야 최고의 전문가를 목표로 합니다.
 복리후생 식대 20만원한도(급여외), 야근식비, 택시비 제공, 건강검진 연 60만원(직원 1 인 30만원, 가족 1인 30만원 가능), 단체상해(실비)보험가입, 편의점 수준 간식 제공, 설, 추석 선물(상품권), 분기별 회식시 10만원, 심리상담실 운영(강북삼 성병원에서 출장), 경조사비, 상조용품 2024. 11. 15.' metadata={'page': 1}",2024-11-15,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002077&menu_idx=2617&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000002485&memberAuth=Y
[추천채용] [프리윌린] 제품경험팀 Printing Operator 채용,"※ 메일 제목 양식 ※[지원 업체명] 학번 학과 이름 자기소개서/이력서예시) [□□기업] 2023123123 ○○학과 홍길동 자기소개서
page_content='[필독 공지사항] *접수 전 유의사항 -이력서 및 자기소개서 작성하기 전! or 작성했어도!
수월한 자. 소. 서 첨삭 후 접수를 위해 꼭 접수 전 날!
채용담당자에게 연락바랍니다 :D' metadata={'page': 1}
page_content='명지전문대학
MYONGJI COLLEGE
취업지원팀 JOB-Cafe 추천채용 채용제목 [프리윌린] 제품경험팀 Printing Operator 채용
 회 사 명 주식회사 프리윌린 접수마감일 24.12.13. (금) 17:00
 업 종 응용 소프트웨어 개발 및 공급업, 교과서 및 학습 서적 출판업 직 무 Printing Operator
 고용형태 정규직 모 집 인 원 0명
 급 여 신입 : 월 209만 원 (3개월 인턴) 후, 연 3,500만 원 (정규직 전환 시) 경력 : 연봉 (경력에 따라 협의) 근무시간 휴 일 주 5일, 유연근무제, 코어타임 (10시-17시)외 출퇴근 자유,
 근무예정지(주소) 서울특별시 관악구 관악로 217 (봉천동) 동진빌딩 1층, 3층 11층
 본사 주소 서울특별시 관악구 관악로 217 (봉천동) 동진빌딩 1층, 3층 11층
 원서접수방법 잡카페 메일 또는 전화로 지원 접수(확인 후 개별로 지원방법 안내)
 채용담당자 Job cafe 담당자 연락처 02-300-3992
 담당자이메일 job@mjc.ac.kr
 업무 내용 및 응시 자격 복리후생 담당 업무 - 리코코리아 최신장비인 C9500, 8320를 통해 책을 인쇄하고 유지, 관리하는 업무 - 인쇄물을 코팅하고 무선제본 및 재단하는 업무 지원자격 - 학력 : 전문학사 이상(2,3년제 이상)의 학력을 소지하신 분 (경력 무관) - 적극적이고 원만한 커뮤니케이션 능력을 보유하신 분 - 책임감 있고 꼼꼼한 업무 수행 능력을 지니신 분 우대사항 - 관련 업무 경력 1년 이상 - 디지털 출력 또는 제본 업무를 1년 이상 경험하신 분 - 리코 / 호리존 제품에 대한 경험이 있으신 분 - 제본 및 재단 업무에 대한 이해 및 경험이 있으신 분 제출서류 및 채용진행 과정 - 제출서류 : 자유 양식의 이력서 및 자기소개서 - 진행과정 : 서류 전형 → 1차 인터뷰 (실무진) → 2차 인터뷰 (경영진) → 최종 합격 (연봉협상) ※ 서류전형 합격자에 한해 기타 추가 서류가 요청될 수 있습니다. ※ 채용 절차는 변경될 수 있으며, 사실이 다를 경우 합격이 취소될 수 있습니다. *회사소개 - 프리윌린은 교육을 더 스마트하게 만들어 학생에게는 최적화된 학습을 제공 하고, 선생님은 더 좋은 교육을 제공할 수 있도록 돕습니다. 궁극적으로는 교 육의 기회를 더 많은 사람이 누릴 수 있게 하는 것. 프리윌린이 만들어가고 싶 은 세상입니다. - (유첨 파일 참고) 2024. 11. 15.' metadata={'page': 1}",2024-11-15,https://www.mjc.ac.kr/bbs/data/view.do?pageIndex=1&SC_KEY=&SC_KEYWORD=&bbs_mst_idx=BM0000002077&menu_idx=2617&tabCnt=&per_menu_idx=&submenu_idx=&data_idx=BD0000002484&memberAuth=Y
